OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
151,Bridge On-system NHS,610671,"Project received federal BRIC grant, may no longer seek funding through MPO.","$4,350,000",NSTF,Manchester-by-the-Sea,Manchester-by-the-Sea,"MANCHESTER-BY-THE-SEA- BRIDGE REPLACEMENT, M-02-001 (8AM), CENTRAL STREET (ROUTE 127) OVER SAW MILL BROOK",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,12/19/2019,,N/A,,N,12/19/2019 12:00:00 AM,57c4e7a9-4193-4bff-b26d-3edd3cbc1112,,,PRC Approved,0.1,80.0971353499464,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
152,Roadway Reconstruction,S13072,Project at conceptual stage.  Project #605657 recently completed near Highland Street.,$-,SWAP,Medway,Medway,MEDWAY- Improvements on Route 109 West of Highland Street (Highland Street to Bellingham Line),N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,a122dd45-0a07-4d9a-abea-c294d94c2cc0,,,Preliminary Design,0.1,1366.94876645915,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
153,Roadway Reconstruction,S13071,Priority is a shared use path under I-495 along W Main Street EB to link into existing trail networks and SUP in downtown area and commercial campuses west of I-495.  Includes a large roundabout at Lumber Street/Parkwood Drive and West Main Street due to frequent crashes.,"$15,000,000",SWAP,Hopkinton,Hopkinton,HOPKINTON- West Main Street Reconstruction and Shared Use Path,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,,,N/A,,N,8/20/2024 12:00:00 AM,58cceddd-052f-47e1-bd6b-c4833a9ee75b,,,Preliminary Design,0.1,7419.8232728251,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
154,Roadway Reconstruction,612534,,"$3,742,432",ICC,Melrose,Melrose,MELROSE- LEBANON STREET IMPROVEMENT PROJECT,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,02/10/2022,,N/A,,N,2/10/2022 12:00:00 AM,caa5b763-792b-4525-8473-4051628f55e5,,Yes,PRC Approved,0.1,1633.9375862905,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,3/6/2025 7:20:12 PM,ajacobsen_CTPS,
155,Roadway Reconstruction,S13070,"Project would dovetail ongoing project 608887, rehab on Route 126 from Douglas Drive to Route 140.",$-,SWAP,Bellingham,Bellingham,BELLINGHAM- South Main Street (Route 126) - Elm Street to Douglas Drive Reconstruction,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,,,N/A,,N,8/20/2024 12:00:00 AM,0d776c66-0896-42fd-9242-e97c7b0a66ab,,,Preliminary Design,0.1,4302.72171508883,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
156,Intersection Improvements,613282,Project had previously submitted a 25% design with revisions to account for some comments by City of Boston in 2022. Project was re-initiated in April 2023.,"$5,357,254",ICC,Boston,MassDOT,Intersection Improvements at VFW Parkway and Spring Street,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,06/01/2023,,N/A,,N,6/1/2023 12:00:00 AM,3fd63a04-5813-4619-b0ec-421405fb557d,,,PRC Approved,0.1,996.453494823508,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
157,Roadway Reconstruction,613727,"Funded with a 2023 earmark for $3,150,000","$3,149,999",SSC,Braintree,Braintree,Reconstruction of Allen Street (MA285),N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2024,05/31/2024,,N/A,,N,5/31/2024 12:00:00 AM,1efb6b33-8c5a-44af-8076-44b83dd5c604,,,PRC Approved,0.1,749.198325023663,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
158,Roadway Reconstruction,608956,"Interim improvement completed in the area more recently, but longer term improvement still sought by Boston.","$916,883",ICC,"Boston, Brookline","Boston, Brookline",BROOKLINE- BOSTON- MOUNTFORT STREET & COMMONWEALTH AVENUE CONNECTION,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2018,12/14/2017,,N/A,,N,12/14/2017 12:00:00 AM,6849d000-810c-4b12-88a9-3b3634a5305e,,,PRC Approved,0.1,1334.35381281745,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
159,Roadway Reconstruction,S13039,"Joint application for design funding may emerge, majority of pavement is in Maynard.",$-,MAGIC,"Acton, Maynard",Acton-Maynard,Route 62 Complete Streets Design (Knox Trail to Waltham Street),N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,b4f23c86-4aa6-4ba4-8b2f-7bdd3cd3eaac,,,Preliminary Design,0.1,4433.80562065434,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
160,Roadway Reconstruction,613872,Seeking pathway for design funding. Was S13038 in universe before PRC approval.,"$12,847,235",MAGIC,Acton,Acton,"Acton - Reconstruction of Route 2A/119 (Great Road), from Davis Road to Harris Street",N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,10/02/2024,,N/A,,N,8/20/2024 12:00:00 AM,b860a0b6-3989-40ad-bc20-af813a8eed53,,Yes (rescore),PRC Approved,0.1,1957.1550058277,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
161,Intersection Improvements,610553,"Project not programmed in LRTP (meets MPO roadway classification requirement). Priority for District 3 and Town of Acton.

Project has had surveying and MSA design contracts opened for it.  MassDOT appears to be tracking as a Traffic Safety improvement.","$6,689,946",MAGIC,Acton,MassDOT,ACTON- INTERSECTION IMPROVEMENTS AT ROUTE 2 AND ROUTE 27 RAMPS,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2020,05/22/2024,,N/A,,N,12/19/2019 12:00:00 AM,d45ee5d8-77a6-47b8-ac07-fb611061c4f1,,,25% Design,0.1,377.000537796893,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
162,Transit Grant Program,S13037,,$-,ICC,Waltham,Waltham,Waltham BlueBikes/Bikeshare Expansion,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Community Connections,2022,,,N/A,,N,8/20/2024 12:00:00 AM,27316e07-4a4d-47a4-a30c-8e74ad2fa10c,linked geometry: waltham,,N/A,0.1,118.621050696072,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
163,Transit Grant Program,S13036,,$-,ICC,Lynn,Lynn,Transit Signal Priority - Bus Upgrades for Lynn Route 107,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Community Connections,2022,,,N/A,,N,8/20/2024 12:00:00 AM,b3758f6e-0051-4138-95d1-721ce472475a,,,N/A,0.1,5799.55321167845,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
164,Bicycle and Pedestrian,S13035,Belmont is currently evaluating potential revenue streams to cover operational costs and match prior to submitting an application for this project.,"$250,000",ICC,Belmont,Belmont,Belmont BlueBikes Expansion,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Community Connections,2022,,,N/A,,N,8/20/2024 12:00:00 AM,6ac56187-01b5-4a58-8e90-9dc3f9db6569,linked geometry: belmont,,N/A,0.1,121.54647084048,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
165,Bicycle and Pedestrian,S13083,Project at conceptual stage.  Feasibility analysis complete.  Pilot development will start with Hill to Pine Street through old rail bed ROW.  Includes bridge over Route 115 due to traffic concerns. Design funded in FFY 2025.,$-,SWAP,"Norfolk, Walpole, and Wrentham",Norfolk,Metacomet Greenway,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,c55f49db-1bf6-43ab-93b0-725b28043c3d,,,Preliminary Design,0.1,7508.34406552614,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
166,Roadway Reconstruction,S13090,"MBTA Project Number P1332. Design and construction for center running bus lanes, separated bike lanes, enhanced bus stops, and sidewalk improvements. Cost estimate seems low.","$25,300,000",ICC,Lynn,Lynn,Lynnway Multimodal Corridor,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2022,,,N/A,,N,9/9/2024 12:00:00 AM,5c63a82d-2dd3-476e-b09a-4330ac97be1a,,,N/A,0.1,7398.24214444798,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
167,Intersection Improvements,S13033,"As discussed on 11.4.2022 with the City of Medford, the City is looking to reconfigure the ramps and adjacent local roadways to improve traffic safety following the results of a RSA along this corridor.  Includes improvements for bicycle, pedestrian, and transit access.",$-,ICC,Medford,Medford,MEDFORD- Roosevelt Circle Interchange Reconfiguration,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2022,,,N/A,,N,8/20/2024 12:00:00 AM,f2213561-d986-417b-acaa-29cfc031cfdb,,,Preliminary Design,0.1,1155.54674593559,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
168,Intersection Improvements,S13082,"Closer to the I-495 1A Ramps project, south side of town.  Recent RSA conducted.",$-,SWAP,Wrentham,Wrentham,WRENTHAM- Intersection Improvements at Route 1A and Route 121,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,0ba52bf8-9e63-42db-8756-312a861299fb,,,Preliminary Design,0.1,268.081620793402,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
169,Intersection Improvements,S13081,,$-,SWAP,Wrentham,Wrentham,WRENTHAM- Intersection Improvements at Route 1 and Hawes Street,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,5240d22b-d1ba-4f6f-8973-36943ce8f4b9,,,Preliminary Design,0.1,123.414905976303,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
170,Bicycle and Pedestrian,S13032,"In DCR park, City is requesting expansion of bridge to 10-12 feet in width to coordinate with shared use pathway.","$800,000",ICC,Medford,Medford,MacDonald Park Pedestrian Bridge,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,,,N/A,,N,8/20/2024 12:00:00 AM,5c957a92-2472-49a5-b443-020cc89fea6d,,,Preliminary Design,0.1,18.9711495473498,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
171,Intersection Improvements,S13079,Project at conceptual stage.,"$2,649,000",SWAP,Wrentham,Wrentham,WRENTHAM- Intersection Improvements at Randall Road and Route 1A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2020,,,N/A,,N,8/20/2024 12:00:00 AM,5ad0249b-184b-4bf6-8719-0495dd2b135b,,,Preliminary Design,0.1,245.809375495412,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
172,Roadway Reconstruction,613244,,"$21,201,688",ICC,Malden,Malden,MALDEN- BROADWAY RECONSTRUCTION,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,06/29/2023,,N/A,,N,6/1/2023 12:00:00 AM,6f74660b-b3af-45ba-a230-476ffe965381,,,PRC Approved,0.1,3346.43274706748,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
173,Intersection Improvements,S13080,,$-,SWAP,Wrentham,Wrentham,WRENTHAM- Intersection Improvements at Route 1A Green St and High Street,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,88da2406-ce18-4f03-885a-f8edf600468c,,,Preliminary Design,0.1,682.158995278834,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
174,Bicycle and Pedestrian,S13031,"Project in conceptual design through Toole, receipt of a MassTrails grant in 2020 for feasibility study.  Limits would be Audubon Circle to Cleveland Circle.",$-,ICC,Brookline,Brookline,Beacon Street Bridle Pathway,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,,,N/A,,N,8/20/2024 12:00:00 AM,8fb31e13-b997-4b4b-8509-0f8d314e4b39,,,Preliminary Design,0.1,3590.44517850366,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
175,Intersection Improvements,S13078,Project at conceptual stage.,$-,SWAP,Sherborn,Sherborn,SHERBORN- Intersection Improvements at Route 16 and Maple Street,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,,,N/A,,N,8/20/2024 12:00:00 AM,c420080e-8986-4526-8992-8b8e1e82cb3b,,,Preliminary Design,0.1,259.616304835162,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
176,Bicycle and Pedestrian,613594,May appear in FFY26-30 TIP.,"$4,785,788",ICC,Newton,Newton,Bridge Replacement on Christina Street,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2023,10/12/2023,,N/A,,Scoring,10/12/2023 12:00:00 AM,c201741c-1f22-46dd-af91-0afa672d0b14,,Yes,PRC Approved,0.1,55.0070994796115,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
177,Bicycle and Pedestrian,S13030,Project at conceptual stage. Final phase of the path contingent on 24-hour accessibility in order to fund project with federal dollars via the TIP.,$-,ICC,Boston,Boston,Fenway Multi-Use Path Phase III,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,496c345a-d109-4599-84e6-3d2176388526,,,Preliminary Design,0.1,237.901472607177,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
178,Intersection Improvements,S13077,Project at conceptual stage.,$-,SWAP,Medway,Medway,MEDWAY- Traffic Signalization at Trotter Drive and Route 109,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,,,N/A,,N,8/20/2024 12:00:00 AM,c4b87a51-1405-4d4a-9781-66f45f92ad96,,,Preliminary Design,0.1,224.492076395366,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
179,Bicycle and Pedestrian,613593,"Design includes a $1,000,000 congressional earmark","$10,688,515",ICC,Arlington,Arlington,Mystic River Path Connection to the Minuteman Bikeway,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2023,10/12/2023,,N/A,,N,10/12/2023 12:00:00 AM,84651918-68d1-4a00-89a5-faf8db9832f4,,,PRC Approved,0.1,207.179211290053,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
180,Roadway Reconstruction,S13076,"Formerly under Intersection Improvements, the scope of this project is growing given a 300 unit development near to the proposed work area.",$-,SWAP,Wrentham,Wrentham,WRENTHAM- Wrentham Center Improvements,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,c11f3375-21b4-46f9-90a4-c7eeb9e76d4e,,,Preliminary Design,0.1,1529.87787992509,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
181,Intersection Improvements,613641,Evaluated for Project Design funding in FFY 2025.,"$9,557,295",NSPC,Burlington,Burlington,BURLINGTON- INTERSECTION IMPROVEMENTS AT ROUTE 3A/CAMBRIDGE STREET AND WINN STREET,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,12/19/2023,,N/A,,N,12/19/2023 12:00:00 AM,e5dc5a9a-9800-4e9a-9b82-b8192f38c1b4,,Yes (rescore),PRC Approved,0.1,1761.66132681044,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
182,Roadway Reconstruction,S13075,MVP Project.  Dam removal upstream of the bridge and culvert on Route 40.  Seeking feedback from MassDOT. Strong Resilience Project candidate.,$-,SWAP,Wrentham,Wrentham,WRENTHAM- Route 140 &amp; Eagle Dam,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,268f0068-1919-4779-855d-2222b06dd59f,,,Preliminary Design,0.1,189.678780713369,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
183,Roadway Reconstruction,608231,Pre-25% package submitted in July 2021. Not recorded in PINFO.,"$10,780,100",SSC,Weymouth,MassDOT,"WEYMOUTH- RECONSTRUCTION ON ROUTE 3A, INCLUDING PEDESTRIAN AND TRAFFIC SIGNAL IMPROVEMENTS",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,02/12/2016,,N/A,,N,2/11/2016 12:00:00 AM,a3b7b282-ab72-4232-add0-50b19a5e1794,,,PRC Approved,0.1,3835.5478056524,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
184,Roadway Improvements,S13074,Funded through the FFY 2025 Project Design Pilot.,$-,SWAP,Sherborn,Sherborn,"SHERBORN- Improvements on Route 27 and Route 16, Sherborn Town Center Improvements (Village Way to Coolidge Street)",N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,f7e6a696-bf06-4700-8ee1-33ebc2fefa75,,,Preliminary Design,0.1,1571.28183268868,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
185,Roadway Reconstruction,S13073,Project at conceptual stage.,$-,SWAP,Millis,Millis,MILLIS- Town Center Improvements,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,,,N/A,,N,8/20/2024 12:00:00 AM,64130196-57d2-4ee2-ba1e-38a101de4071,,,Preliminary Design,0.1,11034.828187649,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
186,Roadway Reconstruction,608927,"Northern follow-up to Project 609246, which is currently programmed on the TIP for FFY 2025-29.","$38,155,000",ICC,"Lynn, Salem",MassDOT,LYNN- SALEM- RECONSTRUCTION OF ROUTE 107,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,12/14/2017,,N/A,,N,12/14/2017 12:00:00 AM,8d9536d4-d820-4126-b480-fc2dbad60fbd,,,PRC Approved,0.1,16151.3187137443,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
187,Roadway Reconstruction,612807,Added through subregional outreach.,"$3,987,500",TRIC,Medfield,Medfield,MEDFIELD- INTERSECTION IMPROVEMENTS AT ROUTE 27 AND WEST STREET,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,05/12/2022,,N/A,,N,5/12/2022 12:00:00 AM,43153517-c571-406a-9dab-c4ecdaac5c83,,,PRC Approved,0.1,232.454344408297,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
188,Bridge Inspections,613683,Town considering discretionary grant funding. Potential for bundling with Boylston Street work above.,"$12,898,928",ICC,Brookline,Brookline,"Pedestrian Bridge Replacement, B-27-017, Davis Path over MBTA",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,05/31/2024,,N/A,,Scoring,5/31/2024 12:00:00 AM,8722d033-2cd8-4a29-aecb-06cb55e6ec81,,Yes,PRC Approved,0.1,85.7583662799302,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
189,Intersection Improvements,613600,NTP issued: 05/01/2024,"$7,190,375",NSPC,Wilmington,Wilmington,WILMINGTON- INTERSECTION IMPROVEMENTS AT MAIN STREET (ROUTE 38) AT RICHMOND STREET (ROUTE 129),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,10/19/2023,,N/A,,N,10/12/2023 12:00:00 AM,ee822194-ff7d-4083-a252-dd19bd6c6b0f,,,PRC Approved,0.1,88.6509903381053,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
190,Roadway Reconstruction,609388,"Dan Wilk (daniel.wilk@state.ma.us) is MassDOT PM.  Working with Bayside Engineering as design consultant. MassDOT may fund this for construction in full, and Wenham is paying for design.  Bayside currently responding to 25% comments.  Drainage for abutters is holding this up.","$4,941,812",NSTF,Wenham,Wenham,Safety Improvements on Route 1A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,02/08/2024,,N/A,,Scoring,4/18/2019 12:00:00 AM,afc12c65-f088-4f2c-90c2-80be105bcaac,,Yes,75% Design,0.1,2832.55647058045,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
191,Roadway Reconstruction,612990,"Project is not programmed in Destination 2040. It is on a regionally significant roadway and would add roadway capacity. If it is programmed in the TIP, it will need to be programmed in Destination 2050.","$12,067,500",NSTF,Salem,MassDOT,"SALEM- RECONSTRUCTION OF BRIDGE STREET (ROUTE 107), FROM FLINT STREET TO WASHINGTON STREET",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,09/18/2024,,N/A,,N,9/15/2022 12:00:00 AM,413b0f04-57ca-4b7e-959a-8a79e2dfd2e8,,,25% Design,0.1,838.461486086102,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
192,Roadway Reconstruction,613117,They replaced it with 613117 and extended the limits further north to Royal Ave and further south to Franklin Terrace. They've done some interim improvements in the limits so I don't know when this will progress.,"$16,049,369",SSC,Holbrook,Holbrook,"Corridor Improvements on North and South Franklin Streets (Route 37), from Franklin Terrace to Royal Avenue",N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2024,12/20/2022,,N/A,,N,12/20/2022 12:00:00 AM,6278d4c3-f2e6-4197-bfff-75b1e6202e22,,,PRC Approved,0.1,2288.10067721236,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
193,Intersection Improvements,S13028,Intersection improvement at Merrymount Parkway and Furnace Brook Parkway.  Parks Department is leading the work.  Will include bridge replacement.,$-,ICC,Quincy,Quincy,QUINCY- Merrymount Parkway Phase II,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2022,,,N/A,,N,8/20/2024 12:00:00 AM,ea22b469-8b3e-4892-a7b8-f1987f870c3c,,,Preliminary Design,0.1,756.101488336809,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
194,Roadway Reconstruction,609446,"MassDOT deactivated due to inactivity, but keeping it on the radar on our side because it's a fairly vulnerable numbered coastal route.","$7,565,512",ICC,Winthrop,Winthrop,Reconstruction and Improvements on Route 145 (Pleasant and Main Street Project),N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,,,N/A,,N,,e5694e4b-c566-4977-93f2-576ad4149246,,,Preliminary Design,0.1,2077.21488181893,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
195,Intersection Improvements,S13034,"Project is in conceptual design stage.  The priority is to reconfigure the loop ramps at the General Edwards Bridge to facilitate redevelopment of the area, for which there are already parcel developments planned.  The reconfiguration will entail construction of a new roundabout and improved pedestrian crossings to improve access to the riverfront and Point of Pines area along Revere.  Per the City, this reconfiguration is intended to work with the Lynnway Multimodal Corridor improvements, but will also not impact construction for the General Edwards Bridge replacement.","$12,000,000",ICC,Revere,Revere,Route 1A Improvement and Reconfiguration,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2022,,,N/A,,N,,a950036a-9acd-4f2a-9c8f-8db4f8b60804,,,Preliminary Design,0.1,2568.79555686325,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
196,Roadway Reconstruction,S13089,Includes redevelopment of existing gravel squares in front of Nantasket Beach for additional facilities/recreational zones/open space.,$-,SSC,Hull,Hull,Nantasket Avenue Redesign,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,,81f888d2-5a07-4084-afe9-48634ab16c39,,,Preliminary Design,0.1,1966.72607489215,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
